INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070908,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,2018-09-03 18:38:00,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I182070813,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,,2018-09-03 03:00:00,2018,9,Monday,3,Part One,PETERBOROUGH ST,42.34280177,-71.10069510,"(42.34280177, -71.10069510)"
I182070804,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,756,,2018-09-03 11:00:00,2018,9,Monday,11,Part One,CHAMPNEY ST,42.35241230,-71.16878833,"(42.35241230, -71.16878833)"
I182070782,00561,Other Burglary,BURGLARY - OTHER - ATTEMPT,E18,495,,2018-09-03 10:12:00,2018,9,Monday,10,Part One,GREENWOOD AVE,42.26597955,-71.12179590,"(42.26597955, -71.12179590)"
I182070706,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,402,,2018-09-02 23:33:00,2018,9,Sunday,23,Part One,BURT ST,42.28413536,-71.06957385,"(42.28413536, -71.06957385)"
I182070571,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,317,,2018-09-02 14:39:00,2018,9,Sunday,14,Part One,HOMESTEAD ST,42.31014403,-71.08759179,"(42.31014403, -71.08759179)"
I182070349,00560,Other Burglary,BURGLARY - OTHER - FORCE,E18,519,,2018-08-27 19:20:00,2018,8,Monday,19,Part One,FAIRMOUNT AVE,42.25395990,-71.11962283,"(42.25395990, -71.11962283)"
I182070290,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,261,,2018-08-31 23:30:00,2018,8,Friday,23,Part One,BROOK AVE,42.32047753,-71.07273673,"(42.32047753, -71.07273673)"
I182070189,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,397,,2018-09-01 04:47:00,2018,9,Saturday,4,Part One,CENTRE ST,42.29126463,-71.06811401,"(42.29126463, -71.06811401)"
I182070141,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,597,,2018-08-31 20:30:00,2018,8,Friday,20,Part One,COLUMBUS AVE,42.33961848,-71.08285580,"(42.33961848, -71.08285580)"
I182070140,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,352,,2018-08-31 23:52:00,2018,8,Friday,23,Part One,ARCADIA ST,42.30170996,-71.06174506,"(42.30170996, -71.06174506)"
I182070099,00560,Other Burglary,BURGLARY - OTHER - FORCE,B3,427,,2018-08-31 18:45:00,2018,8,Friday,18,Part One,NORFOLK ST,42.27759869,-71.09136804,"(42.27759869, -71.09136804)"
I182069859,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,186,,2018-08-31 04:28:00,2018,8,Friday,4,Part One,BOSTON ST,42.32692112,-71.05841861,"(42.32692112, -71.05841861)"
I182069829,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,619,,2018-08-30 17:16:00,2018,8,Thursday,17,Part One,SYMPHONY RD,42.34295335,-71.08833139,"(42.34295335, -71.08833139)"
I182069712,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,800,,2018-08-29 22:30:00,2018,8,Wednesday,22,Part One,GARDNER ST,42.35367844,-71.12861785,"(42.35367844, -71.12861785)"
I182069669,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,361,,2018-08-29 09:00:00,2018,8,Wednesday,9,Part One,MATHER ST,42.29398503,-71.06597383,"(42.29398503, -71.06597383)"
I182069269,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A1,69,,2018-08-28 21:00:00,2018,8,Tuesday,21,Part One,LIME ST,42.35722239,-71.07120320,"(42.35722239, -71.07120320)"
I182069247,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,435,,2018-08-29 08:21:00,2018,8,Wednesday,8,Part One,WENTWORTH ST,42.28712912,-71.07514543,"(42.28712912, -71.07514543)"
