INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070932,03301,Verbal Disputes,VERBAL DISPUTE,B2,584,,2018-09-03 20:39:37,2018,9,Monday,20,Part Three,LAWN ST,42.32701648,-71.10555088,"(42.32701648, -71.10555088)"
I182070929,03301,Verbal Disputes,VERBAL DISPUTE,C11,364,,2018-09-03 20:38:00,2018,9,Monday,20,Part Three,LESLIE ST,42.29514664,-71.05860832,"(42.29514664, -71.05860832)"
I182070928,03301,Verbal Disputes,VERBAL DISPUTE,C6,913,,2018-09-03 19:55:00,2018,9,Monday,19,Part Three,OCEAN VIEW DR,42.31957856,-71.04032766,"(42.31957856, -71.04032766)"
I182070919,03301,Verbal Disputes,VERBAL DISPUTE,C11,341,,2018-09-03 18:52:00,2018,9,Monday,18,Part Three,STONEHURST ST,42.30526428,-71.06683755,"(42.30526428, -71.06683755)"
I182070879,03301,Verbal Disputes,VERBAL DISPUTE,B3,441,,2018-09-03 16:04:00,2018,9,Monday,16,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I182070837,03301,Verbal Disputes,VERBAL DISPUTE,B3,449,,2018-09-03 13:56:00,2018,9,Monday,13,Part Three,WHITFIELD ST,42.29222130,-71.07467073,"(42.29222130, -71.07467073)"
I182070816,03301,Verbal Disputes,VERBAL DISPUTE,C6,185,,2018-09-03 12:45:00,2018,9,Monday,12,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070797,03301,Verbal Disputes,VERBAL DISPUTE,C11,341,,2018-09-03 11:30:00,2018,9,Monday,11,Part Three,SPEEDWELL ST,42.30406722,-71.06760042,"(42.30406722, -71.06760042)"
I182070794,03301,Verbal Disputes,VERBAL DISPUTE,C11,332,,2018-09-03 11:00:00,2018,9,Monday,11,Part Three,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
I182070784,03301,Verbal Disputes,VERBAL DISPUTE,B2,909,,2018-09-03 10:42:00,2018,9,Monday,10,Part Three,WHITTIER ST,42.33380238,-71.08880867,"(42.33380238, -71.08880867)"
