INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070933,00724,Auto Theft,AUTO THEFT,B2,330,,2018-09-03 21:25:00,2018,9,Monday,21,Part One,NORMANDY ST,42.30607218,-71.08273260,"(42.30607218, -71.08273260)"
I182070844,00724,Auto Theft,AUTO THEFT,D4,154,,2018-09-03 15:01:00,2018,9,Monday,15,Part One,TREMONT ST,42.34112890,-71.07692951,"(42.34112890, -71.07692951)"
I182070766,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,623,,2018-09-02 20:00:00,2018,9,Sunday,20,Part One,COMMONWEALTH AVE,42.34880461,-71.09392554,"(42.34880461, -71.09392554)"
I182070610,00724,Auto Theft,AUTO THEFT,B3,449,,2018-09-02 18:20:00,2018,9,Sunday,18,Part One,SPENCER ST,42.29293522,-71.07575826,"(42.29293522, -71.07575826)"
I182070563,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,135,,2018-09-01 23:00:00,2018,9,Saturday,23,Part One,BEACON ST,42.35275712,-71.08240215,"(42.35275712, -71.08240215)"
I182070430,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,, ,,2018-09-02 00:17:00,2018,9,Sunday,0,Part One,,42.33359095,-71.07342099,"(42.33359095, -71.07342099)"
I182070405,00724,Auto Theft,AUTO THEFT,C11,358,,2018-09-01 22:09:00,2018,9,Saturday,22,Part One,WASHINGTON ST,42.29569680,-71.07214055,"(42.29569680, -71.07214055)"
I182070358,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E18,520,,2018-09-01 18:00:00,2018,9,Saturday,18,Other,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182070338,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D14,939,,2018-09-01 17:18:00,2018,9,Saturday,17,Other,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182070334,00724,Auto Theft,AUTO THEFT,B2,326,,2018-09-01 16:24:00,2018,9,Saturday,16,Part One,BLUE HILL AVE,42.31162834,-71.08094294,"(42.31162834, -71.08094294)"
I182070331,00724,Auto Theft,AUTO THEFT,C11,235,,2018-09-01 16:15:00,2018,9,Saturday,16,Part One,CARSON ST,42.31975730,-71.05428941,"(42.31975730, -71.05428941)"
I182070243,00724,Auto Theft,AUTO THEFT,C6,231,,2018-09-01 10:35:29,2018,9,Saturday,10,Part One,E SEVENTH ST,42.33235328,-71.03222702,"(42.33235328, -71.03222702)"
I182070215,00724,Auto Theft,AUTO THEFT,C11,364,,2018-08-31 17:45:00,2018,8,Friday,17,Part One,ADAMS ST,42.29443670,-71.05661774,"(42.29443670, -71.05661774)"
I182070206,00724,Auto Theft,AUTO THEFT,B3,463,,2018-09-01 01:00:00,2018,9,Saturday,1,Part One,AMERICAN LEGION HWY,42.29708829,-71.09095546,"(42.29708829, -71.09095546)"
I182070192,00724,Auto Theft,AUTO THEFT,B2,182,,2018-09-01 06:23:00,2018,9,Saturday,6,Part One,NORFOLK AVE,42.32503262,-71.06915744,"(42.32503262, -71.06915744)"
I182070023,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,B2,604,,2018-08-31 00:30:00,2018,8,Friday,0,Part One,OSWALD ST,42.33125670,-71.10418684,"(42.33125670, -71.10418684)"
