Code,Code Description,Number of Occurences
0840,THEFT,57810
2825,OTHER OFFENSE,121078
1752,OFFENSE INVOLVING CHILDREN,3279
0841,THEFT,19590
0266,CRIM SEXUAL ASSAULT,2977
5007,OTHER OFFENSE,9771
0890,THEFT,270438
1753,OFFENSE INVOLVING CHILDREN,1571
1754,OFFENSE INVOLVING CHILDREN,3085
0910,MOTOR VEHICLE THEFT,288116
0810,THEFT,412513
1563,SEX OFFENSE,10188
1130,DECEPTIVE PRACTICE,36193
0843,THEFT,4067
1150,DECEPTIVE PRACTICE,55962
1562,SEX OFFENSE,6407
1120,DECEPTIVE PRACTICE,20451
0460,BATTERY,586810
0263,CRIM SEXUAL ASSAULT,1234
0842,THEFT,3954
0610,BURGLARY,323075
2820,OTHER OFFENSE,164931
0281,CRIM SEXUAL ASSAULT,16242
5002,OTHER OFFENSE,41486
1750,OFFENSE INVOLVING CHILDREN,15765
142A,WEAPONS VIOLATION,254
0920,MOTOR VEHICLE THEFT,12967
1195,DECEPTIVE PRACTICE,2305
1140,DECEPTIVE PRACTICE,1630
0930,MOTOR VEHICLE THEFT,26124
0265,CRIM SEXUAL ASSAULT,5059
0261,CRIM SEXUAL ASSAULT,1944
0484,BATTERY,18056
2840,PUBLIC PEACE VIOLATION,1497
1822,NARCOTICS,11925
1811,NARCOTICS,362777
1661,GAMBLING,15972
2017,NARCOTICS,29619
1506,PROSTITUTION,59842
2027,NARCOTICS,148446
2230,LIQUOR LAW VIOLATION,5764
1812,NARCOTICS,20293
2050,NARCOTICS,739
2014,NARCOTICS,27954
2093,NARCOTICS,18907
2092,NARCOTICS,33435
2024,NARCOTICS,110342
2022,NARCOTICS,31204
0820,THEFT,611180
2826,OTHER OFFENSE,23084
0497,BATTERY,21667
0860,THEFT,188945
0486,BATTERY,608759
1152,DECEPTIVE PRACTICE,39487
1751,OFFENSE INVOLVING CHILDREN,2259
1122,DECEPTIVE PRACTICE,8257
1544,SEX OFFENSE,710
1582,OFFENSE INVOLVING CHILDREN,839
3730,INTERFERENCE WITH PUBLIC OFFICER,2842
1565,SEX OFFENSE,724
0620,BURGLARY,121675
1320,CRIMINAL DAMAGE,432962
1310,CRIMINAL DAMAGE,420681
1564,SEX OFFENSE,141
0915,MOTOR VEHICLE THEFT,31591
1790,OFFENSE INVOLVING CHILDREN,4256
5000,OTHER OFFENSE,7541
0275,CRIM SEXUAL ASSAULT,277
0560,ASSAULT,334704
0580,STALKING,3211
1025,ARSON,2165
1110,DECEPTIVE PRACTICE,16826
0850,THEFT,13243
1206,DECEPTIVE PRACTICE,4690
1330,CRIMINAL TRESPASS,142775
1135,DECEPTIVE PRACTICE,124
4510,OTHER OFFENSE,2718
1305,CRIMINAL DAMAGE,45134
1590,SEX OFFENSE,149
1576,SEX OFFENSE,36
1210,DECEPTIVE PRACTICE,37403
0110,HOMICIDE,9021
5001,OTHER OFFENSE,13749
0917,MOTOR VEHICLE THEFT,6181
051A,ASSAULT,50701
0313,ROBBERY,14939
4650,OTHER OFFENSE,4356
1570,SEX OFFENSE,8566
1580,SEX OFFENSE,51
0545,ASSAULT,17639
0530,ASSAULT,29283
1153,DECEPTIVE PRACTICE,15007
1156,DECEPTIVE PRACTICE,1618
1154,DECEPTIVE PRACTICE,4592
1535,OBSCENITY,83
4255,KIDNAPPING,2232
0430,BATTERY,81340
143A,WEAPONS VIOLATION,50905
2850,PUBLIC PEACE VIOLATION,7649
0630,BURGLARY,20295
1090,ARSON,2181
0420,BATTERY,31478
0554,ASSAULT,7717
0320,ROBBERY,105480
031A,ROBBERY,105841
0520,ASSAULT,33735
0326,ROBBERY,10431
1821,NARCOTICS,12344
2095,NARCOTICS,24827
2091,NARCOTICS,4532
2090,NARCOTICS,1780
4387,OTHER OFFENSE,38195
1220,DECEPTIVE PRACTICE,10122
0440,BATTERY,5725
1792,KIDNAPPING,2891
033A,ROBBERY,9642
0337,ROBBERY,2402
2250,LIQUOR LAW VIOLATION,3483
0453,BATTERY,1857
0325,ROBBERY,5624
1245,DECEPTIVE PRACTICE,259
1340,CRIMINAL DAMAGE,6794
041A,BATTERY,40172
3800,INTERFERENCE WITH PUBLIC OFFICER,993
0312,ROBBERY,13772
1200,DECEPTIVE PRACTICE,3224
1020,ARSON,8469
1626,GAMBLING,433
5004,SEX OFFENSE,983
0470,PUBLIC PEACE VIOLATION,35554
141C,WEAPONS VIOLATION,10443
1360,CRIMINAL TRESPASS,12814
2900,WEAPONS VIOLATION,2930
1121,DECEPTIVE PRACTICE,13640
1350,CRIMINAL TRESPASS,44352
0454,BATTERY,15480
4651,OTHER OFFENSE,5393
1460,WEAPONS VIOLATION,2528
1710,OFFENSE INVOLVING CHILDREN,7586
0334,ROBBERY,2505
2210,LIQUOR LAW VIOLATION,3793
0291,CRIM SEXUAL ASSAULT,1313
5005,SEX OFFENSE,7
3960,INTIMIDATION,4156
141A,WEAPONS VIOLATION,2946
0340,ROBBERY,11771
1525,PROSTITUTION,953
5011,OTHER OFFENSE,7167
4388,OTHER OFFENSE,730
4230,KIDNAPPING,1265
2111,NARCOTICS,1083
2012,NARCOTICS,3361
1513,PROSTITUTION,18586
4220,KIDNAPPING,493
4310,OTHER OFFENSE,1005
051B,ASSAULT,2227
2860,PUBLIC PEACE VIOLATION,2825
2830,OTHER OFFENSE,5174
2011,NARCOTICS,228
0330,ROBBERY,14997
0450,BATTERY,353
0925,MOTOR VEHICLE THEFT,1530
041B,BATTERY,1481
4210,KIDNAPPING,777
2851,PUBLIC PEACE VIOLATION,5610
0880,THEFT,19868
1365,CRIMINAL TRESPASS,28849
2028,NARCOTICS,3299
1345,CRIMINAL DAMAGE,15764
1010,ARSON,120
0870,THEFT,36532
502P,OTHER OFFENSE,25678
2013,NARCOTICS,804
3710,INTERFERENCE WITH PUBLIC OFFICER,6659
1170,DECEPTIVE PRACTICE,1082
502R,OTHER OFFENSE,8142
1155,DECEPTIVE PRACTICE,382
033B,ROBBERY,344
0553,ASSAULT,1469
0262,CRIM SEXUAL ASSAULT,40
0264,CRIM SEXUAL ASSAULT,338
0935,MOTOR VEHICLE THEFT,3501
141B,WEAPONS VIOLATION,512
1240,DECEPTIVE PRACTICE,520
031B,ROBBERY,1609
1610,GAMBLING,30
143B,WEAPONS VIOLATION,3202
0550,ASSAULT,1168
3920,INTERFERENCE WITH PUBLIC OFFICER,49
2870,PUBLIC PEACE VIOLATION,1166
143C,WEAPONS VIOLATION,1575
2110,NARCOTICS,1062
2029,NARCOTICS,414
0492,RITUALISM,7
1791,OFFENSE INVOLVING CHILDREN,295
2026,NARCOTICS,3577
9901,DOMESTIC VIOLENCE,2
0273,CRIM SEXUAL ASSAULT,214
2025,NARCOTICS,5295
2023,NARCOTICS,3840
0483,BATTERY,1630
0452,BATTERY,270
1505,PROSTITUTION,3146
1235,DECEPTIVE PRACTICE,1886
2030,NARCOTICS,99
1627,GAMBLING,7
1510,PROSTITUTION,28
1651,GAMBLING,479
2040,NARCOTICS,185
2010,NARCOTICS,143
1540,OBSCENITY,313
0493,RITUALISM,7
1720,OFFENSE INVOLVING CHILDREN,730
2021,NARCOTICS,1395
3100,PUBLIC PEACE VIOLATION,2050
1515,PROSTITUTION,114
1151,DECEPTIVE PRACTICE,1002
0552,ASSAULT,632
1900,OTHER NARCOTIC VIOLATION,144
2016,NARCOTICS,360
1670,GAMBLING,849
2240,LIQUOR LAW VIOLATION,97
0581,STALKING,153
1520,PROSTITUTION,143
0271,CRIM SEXUAL ASSAULT,164
0480,BATTERY,164
0937,MOTOR VEHICLE THEFT,245
1205,DECEPTIVE PRACTICE,554
1507,PROSTITUTION,321
2015,NARCOTICS,860
5003,OTHER OFFENSE,175
1512,PROSTITUTION,2530
1370,CRIMINAL DAMAGE,465
1680,GAMBLING,727
2020,NARCOTICS,700
1585,SEX OFFENSE,641
2018,NARCOTICS,409
3760,INTERFERENCE WITH PUBLIC OFFICER,604
3750,INTERFERENCE WITH PUBLIC OFFICER,393
0482,BATTERY,209
0551,ASSAULT,104
1530,PROSTITUTION,130
1631,GAMBLING,72
1511,PROSTITUTION,49
1780,OFFENSE INVOLVING CHILDREN,10576
0274,CRIM SEXUAL ASSAULT,62
142B,WEAPONS VIOLATION,126
1536,PUBLIC INDECENCY,163
1440,WEAPONS VIOLATION,8
3910,INTERFERENCE WITH PUBLIC OFFICER,192
3400,PUBLIC PEACE VIOLATION,14
2019,NARCOTICS,91
1611,GAMBLING,124
1549,PROSTITUTION,521
1566,SEX OFFENSE,76
1030,ARSON,103
1650,GAMBLING,20
1840,NARCOTICS,52
