Code,Code Description,Number of Occurences
626,INTIMATE PARTNER - SIMPLE ASSAULT,91558
510,VEHICLE - STOLEN,129996
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),75560
110,CRIMINAL HOMICIDE,2293
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",6250
440,THEFT PLAIN - PETTY ($950 & UNDER),120621
763,STALKING,1564
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),37699
624,BATTERY - SIMPLE ASSAULT,154801
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",486
649,DOCUMENT FORGERY / STOLEN FELONY,19762
480,BIKE - STOLEN,9708
210,ROBBERY,67817
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,1101
220,ATTEMPTED ROBBERY,9630
437,RESISTING ARREST,2741
888,TRESPASSING,15659
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",59733
660,COUNTERFEIT,724
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",72439
647,THROWING OBJECT AT MOVING VEHICLE,1252
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",1790
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,47036
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",85395
330,BURGLARY FROM VEHICLE,130071
860,BATTERY WITH SEXUAL CONTACT,8719
946,OTHER MISCELLANEOUS CRIME,17258
310,BURGLARY,122010
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2991
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,7253
850,INDECENT EXPOSURE,2774
237,CHILD NEGLECT (SEE 300 W.I.C.),4704
625,OTHER ASSAULT,2188
350,"THEFT, PERSON",11282
755,BOMB SCARE,914
940,EXTORTION,1835
121,"RAPE, FORCIBLE",7943
441,THEFT PLAIN - ATTEMPT,1394
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),24338
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,9935
886,DISTURBING THE PEACE,2956
813,CHILD ANNOYING (17YRS & UNDER),4370
251,SHOTS FIRED AT INHABITED DWELLING,2119
623,BATTERY POLICE (SIMPLE),3695
761,BRANDISH WEAPON,10009
943,CRUELTY TO ANIMALS,1171
815,SEXUAL PENTRATION WITH A FOREIGN OBJECT,1523
354,THEFT OF IDENTITY,106240
648,ARSON,2817
320,"BURGLARY, ATTEMPTED",10489
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),69046
900,VIOLATION OF COURT ORDER,16881
956,"LETTERS, LEWD",16382
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,6786
410,"BURGLARY FROM VEHICLE, ATTEMPTED",2442
434,FALSE IMPRISONMENT,764
662,"BUNCO, GRAND THEFT",5763
351,PURSE SNATCHING,1018
901,VIOLATION OF RESTRAINING ORDER,14593
122,"RAPE, ATTEMPTED",927
664,"BUNCO, PETTY THEFT",3538
910,KIDNAPPING,1739
762,LEWD CONDUCT,1033
933,PROWLER,770
520,VEHICLE - ATTEMPT STOLEN,2709
805,PIMPING,421
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",21
932,PEEPING TOM,959
810,"SEX, UNLAWFUL",3407
485,BIKE - ATTEMPTED STOLEN,30
450,THEFT FROM PERSON - ATTEMPT,235
352,PICKPOCKET,653
438,RECKLESS DRIVING,194
820,ORAL COPULATION,1357
928,THREATENING PHONE CALLS/LETTERS,2703
444,DISHONEST EMPLOYEE - PETTY THEFT,108
661,UNAUTHORIZED COMPUTER ACCESS,1084
753,DISCHARGE FIREARMS/SHOTS FIRED,3012
922,CHILD STEALING,954
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",686
433,DRIVING WITHOUT OWNER CONSENT (DWOC),398
666,"BUNCO, ATTEMPT",500
942,BRIBERY,29
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",201
756,WEAPONS POSSESSION/BOMBING,142
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1364
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1345
443,SHOPLIFTING - ATTEMPT,170
949,ILLEGAL DUMPING,413
920,KIDNAPPING - GRAND ATTEMPT,619
452,"PICKPOCKET, ATTEMPT",18
451,PURSE SNATCHING - ATTEMPT,41
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,990
622,BATTERY ON A FIREFIGHTER,248
651,DOCUMENT WORTHLESS ($200.01 & OVER),287
890,FAILURE TO YIELD,290
902,VIOLATION OF TEMPORARY RESTRAINING ORDER,1101
439,FALSE POLICE REPORT,331
345,DISHONEST EMPLOYEE - GRAND THEFT,141
952,ABORTION/ILLEGAL,5
954,CONTRIBUTING,158
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",191
353,DRUNK ROLL,27
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",191
487,BOAT - STOLEN,240
880,DISRUPT SCHOOL,37
882,INCITING A RIOT,11
884,FAILURE TO DISPERSE,18
806,PANDERING,222
471,TILL TAP - PETTY ($950 & UNDER),78
436,LYNCHING - ATTEMPTED,20
944,CONSPIRACY,47
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",21
870,CHILD ABANDONMENT,75
924,TELEPHONE PROPERTY - DAMAGE,35
903,CONTEMPT OF COURT,2767
865,"DRUGS, TO A MINOR",38
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",211
347,GRAND THEFT / INSURANCE FRAUD,63
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",35
349,GRAND THEFT / AUTO REPAIR,12
446,PETTY THEFT - AUTO REPAIR,19
435,LYNCHING,41
113,"MANSLAUGHTER, NEGLIGENT",4
948,BIGAMY,10
472,TILL TAP - ATTEMPT,3
470,TILL TAP - GRAND THEFT ($950.01 & OVER),14
453,DRUNK ROLL - ATTEMPT,1
475,"THEFT, COIN MACHINE - ATTEMPT",19
652,DOCUMENT WORTHLESS ($200 & UNDER),44
445,DISHONEST EMPLOYEE ATTEMPTED THEFT,7
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),9
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ0059",224
815,SEXUAL PENETRATION W/FOREIGN OBJECT,249
760,LEWD/LASCIVIOUS ACTS WITH CHILD,35
432,BLOCKING DOOR INDUCTION CENTER,3
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",926
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,12
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,49
814,CHILD PORNOGRAPHY,28
926,TRAIN WRECKING,2
906,FIREARMS RESTRAINING ORDER (FIREARMS RO),1
