CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
187880103,12/27/2015,2:45:00,12/27/2015,2:49:00,12/27/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,GAS STATION,,,996928,163282,40.61484692,-73.95433716,"(40.614846919, -73.954337157)"
684911182,12/21/2015,20:54:00,12/21/2015,20:55:00,12/21/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,101,INSIDE,GAS STATION,,,1047825,156482,40.59596336,-73.77107818,"(40.595963363, -73.771078184)"
600230681,12/16/2015,18:02:00,12/16/2015,18:05:00,12/16/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,GAS STATION,,,1048280,188383,40.68352121,-73.76913708,"(40.683521212, -73.769137075)"
931777409,12/15/2015,1:35:00,12/15/2015,1:47:00,12/15/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,INSIDE,GAS STATION,,,1042946,249123,40.85027324,-73.78783867,"(40.850273239, -73.787838665)"
259346776,12/7/2015,16:55:00,12/7/2015,17:00:00,12/7/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,100,INSIDE,GAS STATION,,,1029432,151389,40.58209697,-73.83734226,"(40.582096965, -73.837342262)"
719826984,12/7/2015,2:00:00,12/7/2015,2:05:00,12/7/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,66,INSIDE,GAS STATION,,,994492,162930,40.6138839,-73.9631118,"(40.613883902, -73.963111802)"
108074846,12/4/2015,1:50:00,12/4/2015,1:55:00,12/4/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47,FRONT OF,GAS STATION,,,1025642,257097,40.87225751,-73.85033638,"(40.872257512, -73.85033638)"
506536051,12/3/2015,20:20:00,12/3/2015,20:40:00,12/3/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,GAS STATION,,,1006302,180056,40.66086959,-73.92051859,"(40.660869587, -73.92051859)"
823442318,11/21/2015,20:10:00,11/21/2015,20:15:00,11/21/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42,INSIDE,GAS STATION,,,1014600,243849,40.83594059,-73.89032194,"(40.835940593, -73.890321938)"
664399989,11/19/2015,1:30:00,11/19/2015,1:40:00,11/19/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,107,INSIDE,GAS STATION,,,1032672,206550,40.73348438,-73.82528192,"(40.73348438, -73.825281924)"
987547964,11/16/2015,19:55:00,,,11/16/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,FRONT OF,GAS STATION,,,1038784,185089,40.67454355,-73.80340206,"(40.674543547, -73.803402057)"
756114147,11/11/2015,0:21:00,11/11/2015,0:22:00,11/11/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,GAS STATION,,,1001758,194897,40.70161491,-73.93685814,"(40.701614908, -73.936858136)"
493842674,11/7/2015,5:25:00,11/7/2015,5:28:00,11/7/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,GAS STATION,,,957842,152026,40.5839212,-74.09507512,"(40.583921202, -74.095075124)"
662918053,10/22/2015,3:25:00,10/22/2015,3:35:00,10/22/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,GAS STATION,,,989854,175327,40.6479152,-73.97980666,"(40.647915199, -73.979806659)"
857734053,10/6/2015,13:42:00,10/6/2015,13:44:00,10/6/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,GAS STATION,,,994884,192098,40.69394323,-73.96165391,"(40.693943234, -73.96165391)"
913818244,10/5/2015,0:01:00,10/5/2015,8:00:00,10/5/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,FRONT OF,GAS STATION,,,1004229,186063,40.67736238,-73.92797258,"(40.67736238, -73.927972575)"
353592383,9/19/2015,4:40:00,,,9/19/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47,INSIDE,GAS STATION,,,1028073,263024,40.88851353,-73.84150762,"(40.888513527, -73.841507621)"
914023286,9/2/2015,2:30:00,9/2/2015,2:35:00,9/2/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47,INSIDE,GAS STATION,,,1028933,255059,40.86664779,-73.83845041,"(40.866647787, -73.838450408)"
821047295,8/27/2015,2:39:00,8/27/2015,2:41:00,8/27/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,GAS STATION,,,1023556,240430,40.82652111,-73.85797663,"(40.826521112, -73.857976625)"
615431296,8/22/2015,3:30:00,8/22/2015,3:40:00,8/22/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,INSIDE,GAS STATION,,,1015580,259160,40.87796126,-73.88670884,"(40.877961257, -73.886708837)"
529184523,8/21/2015,17:22:00,8/21/2015,17:25:00,8/21/2015,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,FRONT OF,GAS STATION,,,1009043,174078,40.64445404,-73.91066108,"(40.644454036, -73.910661081)"
