CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
936462776,12/31/2015,15:30:00,12/31/2015,15:50:00,12/31/2015,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,CLOTHING/BOUTIQUE,,,1001935,248909,40.84986325,-73.93607764,"(40.849863253, -73.936077636)"
861626939,12/31/2015,15:30:00,12/31/2015,15:35:00,12/31/2015,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,FRONT OF,STREET,,,997941,221724,40.7752551,-73.95056971,"(40.7752551, -73.950569705)"
420768360,12/31/2015,11:00:00,12/31/2015,11:15:00,12/31/2015,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,108,INSIDE,COMMERCIAL BUILDING,,,996545,210921,40.74560569,-73.95562976,"(40.745605687, -73.955629757)"
450599177,12/31/2015,8:30:00,12/31/2015,8:40:00,12/31/2015,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120,FRONT OF,STREET,,,961580,163524,40.61549122,-74.08165623,"(40.615491223, -74.08165623)"
100624663,12/31/2015,2:30:00,12/31/2015,2:45:00,12/31/2015,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,BAR/NIGHT CLUB,,,984016,205082,40.72958762,-74.00084573,"(40.729587616, -74.000845732)"
712042272,12/31/2015,0:20:00,12/31/2015,3:00:00,12/31/2015,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,HOTEL/MOTEL,,,988855,217773,40.76442003,-73.98337767,"(40.764420034, -73.983377672)"
675057985,12/31/2015,0:15:00,12/31/2015,0:25:00,12/31/2015,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,FRONT OF,TAXI (LIVERY LICENSED),,,999453,241204,40.82871989,-73.94506648,"(40.828719891, -73.945066481)"
357706105,12/30/2015,18:48:00,12/30/2015,19:48:00,12/31/2015,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BROOKLYN,79,FRONT OF,RESIDENCE - PUBLIC HOUSING,,TOMPKINS,999414,193607,40.69807849,-73.94531477,"(40.698078486, -73.94531477)"
565443016,12/27/2015,19:00:00,,,12/31/2015,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1004057,245520,40.84055694,-73.92841751,"(40.84055694, -73.928417514)"
825969347,12/25/2015,11:00:00,12/25/2015,18:00:00,12/31/2015,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,101,INSIDE,RESIDENCE - APT. HOUSE,,,1052496,160257,40.6062902,-73.75422062,"(40.606290198, -73.754220618)"
