Code,Code Description,Number of Occurences
64070,Suspicious Occ,3737
71000,Lost Property,8319
72000,Non-Criminal,3971
6244,Larceny Theft,30499
4134,Assault,6729
7045,Recovered Vehicle,708
28150,Malicious Mischief,6518
6374,Larceny Theft,5264
28160,Malicious Mischief,3698
3074,Robbery,1557
27195,Other Miscellaneous,2121
16100,Drug Offense,246
27170,Other Miscellaneous,1850
16650,Drug Offense,612
7041,Recovered Vehicle,4933
64020,Non-Criminal,5624
19057,Disorderly Conduct,2318
5051,Burglary,509
5151,Burglary,695
71013,Larceny Theft,1672
64085,Other Miscellaneous,3731
68060,Traffic Collision,138
65016,Other Miscellaneous,1643
62050,Warrant,3080
28140,Malicious Mischief,136
7043,Recovered Vehicle,676
26032,Arson,34
15200,Offences Against The Family And Children,972
65010,Traffic Violation Arrest,3013
7200,Forgery And Counterfeiting,159
75000,Missing Person,2877
15040,Offences Against The Family And Children,594
62020,Warrant,182
6234,Larceny Theft,76
51040,Non-Criminal,1729
28100,Malicious Mischief,1301
6363,Larceny Theft,1586
4013,Assault,1745
7023,Motor Vehicle Theft,820
75030,Case Closure,997
6154,Larceny Theft,1143
12080,Weapons Carrying Etc,364
26031,Arson,101
61030,Other,1220
15041,Offences Against The Family And Children,622
4012,Assault,590
4014,Assault,1324
6246,Larceny Theft,195
16710,Drug Offense,1451
6153,Larceny Theft,838
65015,Other Miscellaneous,1771
6243,Larceny Theft,3321
5013,Burglary,875
6224,Larceny Theft,3770
68020,Miscellaneous Investigation,1959
12030,Weapons Offense,648
7021,Motor Vehicle Theft,4697
4170,Assault,275
27130,Other Miscellaneous,727
6300,Larceny Theft,47
16030,Drug Offense,105
6372,Larceny Theft,6830
7046,Recovered Vehicle,106
9024,Fraud,1019
63010,Warrant,4323
6364,Larceny Theft,1085
6361,Larceny Theft,457
16623,Drug Offense,648
5141,Burglary,126
6223,Larceny Theft,386
64000,Civil Sidewalks,37
4082,Assault,27
30200,Other Offenses,374
6304,Larceny Theft,1792
26170,Other Miscellaneous,955
16662,Drug Offense,172
6303,Larceny Theft,1370
5073,Burglary,1768
28165,Malicious Mischief,332
71012,Other Offenses,533
75025,Non-Criminal,842
74000,Missing Person,2414
28166,Malicious Mischief,66
6242,Larceny Theft,1130
27175,Other Miscellaneous,357
6362,Larceny Theft,825
13075,Prostitution,410
15051,Offences Against The Family And Children,28
65030,Other Miscellaneous,32
5081,Burglary,381
9027,Fraud,401
68050,Traffic Collision,180
16420,Drug Offense,40
73000,Non-Criminal,72
5083,Burglary,620
15017,Sex Offense,291
19028,Disorderly Conduct,31
10125,Fraud,175
5043,Burglary,621
6241,Larceny Theft,603
16430,Drug Offense,24
6112,Larceny Theft,299
29100,Juvenile Offenses,254
6240,Larceny Theft,407
3474,Robbery,219
7020,Motor Vehicle Theft,656
